run_id,window_start,window_end,window_seconds,scenario,label,is_anomaly
run_b,2026-08-31T16:30:26.479571+00:00,2026-08-31T16:30:36.540391+00:00,10.061,normal,normal,0
run_b,2026-08-31T16:30:36.540391+00:00,2026-08-31T16:30:46.629054+00:00,10.089,normal,normal,0
run_b,2026-08-31T16:30:46.629054+00:00,2026-08-31T16:30:56.696554+00:00,10.068,normal,normal,0
run_b,2026-08-31T16:30:56.696554+00:00,2026-08-31T16:31:06.764296+00:00,10.068,normal,normal,0
run_b,2026-08-31T16:31:06.764296+00:00,2026-08-31T16:31:16.832315+00:00,10.068,normal,normal,0
run_b,2026-08-31T16:31:16.832315+00:00,2026-08-31T16:31:26.907878+00:00,10.076,normal,normal,0
run_b,2026-08-31T16:31:41.073961+00:00,2026-08-31T16:31:51.142167+00:00,10.068,publish_failure,publish_failure,1
run_b,2026-08-31T16:31:51.142167+00:00,2026-08-31T16:32:01.221197+00:00,10.079,publish_failure,publish_failure,1
run_b,2026-08-31T16:32:01.221197+00:00,2026-08-31T16:32:11.292708+00:00,10.072,publish_failure,publish_failure,1
run_b,2026-08-31T16:32:11.292708+00:00,2026-08-31T16:32:21.363174+00:00,10.07,publish_failure,publish_failure,1
run_b,2026-08-31T16:32:21.363174+00:00,2026-08-31T16:32:31.427389+00:00,10.064,publish_failure,publish_failure,1
run_b,2026-08-31T16:32:31.427389+00:00,2026-08-31T16:32:41.506949+00:00,10.08,publish_failure,publish_failure,1
run_b,2026-08-31T16:32:55.755318+00:00,2026-08-31T16:33:06.078553+00:00,10.323,normal,normal,0
run_b,2026-08-31T16:33:06.078553+00:00,2026-08-31T16:33:16.141406+00:00,10.063,normal,normal,0
run_b,2026-08-31T16:33:16.141406+00:00,2026-08-31T16:33:26.220126+00:00,10.079,normal,normal,0
run_b,2026-08-31T16:33:26.220126+00:00,2026-08-31T16:33:36.297847+00:00,10.078,normal,normal,0
run_b,2026-08-31T16:33:36.297847+00:00,2026-08-31T16:33:46.372953+00:00,10.075,normal,normal,0
run_b,2026-08-31T16:33:46.372953+00:00,2026-08-31T16:33:56.475609+00:00,10.103,normal,normal,0
run_b,2026-08-31T16:34:10.690512+00:00,2026-08-31T16:34:20.764848+00:00,10.074,surge,traffic_surge,1
run_b,2026-08-31T16:34:20.764848+00:00,2026-08-31T16:34:30.845557+00:00,10.081,surge,traffic_surge,1
run_b,2026-08-31T16:34:30.845557+00:00,2026-08-31T16:34:40.927734+00:00,10.082,surge,traffic_surge,1
run_b,2026-08-31T16:34:40.927734+00:00,2026-08-31T16:34:51.008528+00:00,10.081,surge,traffic_surge,1
run_b,2026-08-31T16:34:51.008528+00:00,2026-08-31T16:35:01.111030+00:00,10.103,surge,traffic_surge,1
run_b,2026-08-31T16:35:01.111030+00:00,2026-08-31T16:35:11.196328+00:00,10.085,surge,traffic_surge,1
run_b,2026-08-31T16:35:25.484457+00:00,2026-08-31T16:35:35.565263+00:00,10.081,normal,normal,0
run_b,2026-08-31T16:35:35.565263+00:00,2026-08-31T16:35:45.630713+00:00,10.065,normal,normal,0
run_b,2026-08-31T16:35:45.630713+00:00,2026-08-31T16:35:55.704087+00:00,10.073,normal,normal,0
run_b,2026-08-31T16:35:55.704087+00:00,2026-08-31T16:36:05.792574+00:00,10.088,normal,normal,0
